,token_x,symbol_x,name,expiry_x,strike_x,lotsize_x,instrumenttype_x,exch_seg_x,tick_size_x,token_y,symbol_y,expiry_y,strike_y,lotsize_y,instrumenttype_y,exch_seg_y,tick_size_y
0,35003,ABB27MAR25FUT,ABB,27MAR2025,-1.0,125,FUTSTK,NFO,5.0,13,ABB-EQ,,-1.0,1,,NSE,5.0
1,35185,ADANIPORTS27MAR25FUT,ADANIPORTS,27MAR2025,-1.0,400,FUTSTK,NFO,5.0,15083,ADANIPORTS-EQ,,-1.0,1,,NSE,5.0
2,35225,AUBANK27MAR25FUT,AUBANK,27MAR2025,-1.0,1000,FUTSTK,NFO,5.0,21238,AUBANK-EQ,,-1.0,1,,NSE,5.0
3,35223,ATGL27MAR25FUT,ATGL,27MAR2025,-1.0,775,FUTSTK,NFO,5.0,6066,ATGL-EQ,,-1.0,1,,NSE,5.0
4,35247,BAJAJ-AUTO27MAR25FUT,BAJAJ-AUTO,27MAR2025,-1.0,75,FUTSTK,NFO,5.0,16669,BAJAJ-AUTO-EQ,,-1.0,1,,NSE,5.0
5,35274,BAJAJFINSV27MAR25FUT,BAJAJFINSV,27MAR2025,-1.0,500,FUTSTK,NFO,5.0,16675,BAJAJFINSV-EQ,,-1.0,1,,NSE,5.0
6,35356,BERGEPAINT27MAR25FUT,BERGEPAINT,27MAR2025,-1.0,1320,FUTSTK,NFO,5.0,404,BERGEPAINT-EQ,,-1.0,1,,NSE,5.0
7,35406,CANBK27MAR25FUT,CANBK,27MAR2025,-1.0,6750,FUTSTK,NFO,1.0,10794,CANBK-EQ,,-1.0,1,,NSE,1.0
8,35570,CROMPTON27MAR25FUT,CROMPTON,27MAR2025,-1.0,1800,FUTSTK,NFO,5.0,17094,CROMPTON-EQ,,-1.0,1,,NSE,5.0
9,35797,DALBHARAT27MAR25FUT,DALBHARAT,27MAR2025,-1.0,275,FUTSTK,NFO,5.0,8075,DALBHARAT-EQ,,-1.0,1,,NSE,5.0
10,35802,DIVISLAB27MAR25FUT,DIVISLAB,27MAR2025,-1.0,100,FUTSTK,NFO,5.0,10940,DIVISLAB-EQ,,-1.0,1,,NSE,5.0
11,35361,BIOCON27MAR25FUT,BIOCON,27MAR2025,-1.0,2500,FUTSTK,NFO,5.0,11373,BIOCON-EQ,,-1.0,1,,NSE,5.0
12,35403,BSE27MAR25FUT,BSE,27MAR2025,-1.0,125,FUTSTK,NFO,5.0,19585,BSE-EQ,,-1.0,1,,NSE,5.0
13,35410,CDSL27MAR25FUT,CDSL,27MAR2025,-1.0,350,FUTSTK,NFO,5.0,21174,CDSL-EQ,,-1.0,1,,NSE,5.0
14,35428,CHAMBLFERT27MAR25FUT,CHAMBLFERT,27MAR2025,-1.0,1900,FUTSTK,NFO,5.0,637,CHAMBLFERT-EQ,,-1.0,1,,NSE,5.0
15,35432,CHOLAFIN27MAR25FUT,CHOLAFIN,27MAR2025,-1.0,625,FUTSTK,NFO,5.0,685,CHOLAFIN-EQ,,-1.0,1,,NSE,5.0
16,35564,COLPAL27MAR25FUT,COLPAL,27MAR2025,-1.0,175,FUTSTK,NFO,5.0,15141,COLPAL-EQ,,-1.0,1,,NSE,5.0
17,35793,DABUR27MAR25FUT,DABUR,27MAR2025,-1.0,1250,FUTSTK,NFO,5.0,772,DABUR-EQ,,-1.0,1,,NSE,5.0
18,36697,051NSETEST27NOV36FUT,051NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,14758,051NSETEST-EQ,,-1.0,1,,NSE,5.0
19,36718,121NSETEST27NOV36FUT,121NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,14777,121NSETEST-EQ,,-1.0,1,,NSE,5.0
20,36725,161NSETEST27NOV36FUT,161NSETEST,27NOV2036,-1.0,50,FUTSTK,NFO,5.0,14784,161NSETEST-EQ,,-1.0,1,,NSE,5.0
21,39346,HCLTECH27MAR25FUT,HCLTECH,27MAR2025,-1.0,350,FUTSTK,NFO,5.0,7229,HCLTECH-EQ,,-1.0,1,,NSE,5.0
22,39353,HDFCAMC27MAR25FUT,HDFCAMC,27MAR2025,-1.0,150,FUTSTK,NFO,5.0,4244,HDFCAMC-EQ,,-1.0,1,,NSE,5.0
23,39930,ICICIPRULI27MAR25FUT,ICICIPRULI,27MAR2025,-1.0,750,FUTSTK,NFO,5.0,18652,ICICIPRULI-EQ,,-1.0,1,,NSE,5.0
24,40392,INDHOTEL27MAR25FUT,INDHOTEL,27MAR2025,-1.0,1000,FUTSTK,NFO,5.0,1512,INDHOTEL-EQ,,-1.0,1,,NSE,5.0
25,41033,JINDALSTEL27MAR25FUT,JINDALSTEL,27MAR2025,-1.0,625,FUTSTK,NFO,5.0,6733,JINDALSTEL-EQ,,-1.0,1,,NSE,5.0
26,41029,ITC27MAR25FUT,ITC,27MAR2025,-1.0,1600,FUTSTK,NFO,5.0,1660,ITC-EQ,,-1.0,1,,NSE,5.0
27,43114,LICI27MAR25FUT,LICI,27MAR2025,-1.0,575,FUTSTK,NFO,5.0,9480,LICI-EQ,,-1.0,1,,NSE,5.0
28,43120,LT27MAR25FUT,LT,27MAR2025,-1.0,150,FUTSTK,NFO,5.0,11483,LT-EQ,,-1.0,1,,NSE,5.0
29,43175,MCX27MAR25FUT,MCX,27MAR2025,-1.0,100,FUTSTK,NFO,5.0,31181,MCX-EQ,,-1.0,1,,NSE,5.0
30,43195,MPHASIS27MAR25FUT,MPHASIS,27MAR2025,-1.0,275,FUTSTK,NFO,5.0,4503,MPHASIS-EQ,,-1.0,1,,NSE,5.0
31,43229,NMDC27MAR25FUT,NMDC,27MAR2025,-1.0,13500,FUTSTK,NFO,1.0,15332,NMDC-EQ,,-1.0,1,,NSE,1.0
32,43230,NTPC27MAR25FUT,NTPC,27MAR2025,-1.0,1500,FUTSTK,NFO,5.0,11630,NTPC-EQ,,-1.0,1,,NSE,5.0
33,43266,ONGC27MAR25FUT,ONGC,27MAR2025,-1.0,1925,FUTSTK,NFO,5.0,2475,ONGC-EQ,,-1.0,1,,NSE,5.0
34,43269,PEL27MAR25FUT,PEL,27MAR2025,-1.0,750,FUTSTK,NFO,5.0,2412,PEL-EQ,,-1.0,1,,NSE,5.0
35,43298,PIDILITIND27MAR25FUT,PIDILITIND,27MAR2025,-1.0,250,FUTSTK,NFO,5.0,2664,PIDILITIND-EQ,,-1.0,1,,NSE,5.0
36,43339,RBLBANK27MAR25FUT,RBLBANK,27MAR2025,-1.0,2500,FUTSTK,NFO,1.0,18391,RBLBANK-EQ,,-1.0,1,,NSE,1.0
37,43404,TRENT27MAR25FUT,TRENT,27MAR2025,-1.0,100,FUTSTK,NFO,5.0,1964,TRENT-EQ,,-1.0,1,,NSE,5.0
38,43437,VOLTAS27MAR25FUT,VOLTAS,27MAR2025,-1.0,300,FUTSTK,NFO,5.0,3718,VOLTAS-EQ,,-1.0,1,,NSE,5.0
39,43438,WIPRO27MAR25FUT,WIPRO,27MAR2025,-1.0,3000,FUTSTK,NFO,5.0,3787,WIPRO-EQ,,-1.0,1,,NSE,5.0
40,54834,ADANIGREEN24APR25FUT,ADANIGREEN,24APR2025,-1.0,375,FUTSTK,NFO,5.0,3563,ADANIGREEN-EQ,,-1.0,1,,NSE,5.0
41,57140,ADANIENSOL29MAY25FUT,ADANIENSOL,29MAY2025,-1.0,625,FUTSTK,NFO,5.0,10217,ADANIENSOL-EQ,,-1.0,1,,NSE,5.0
42,57150,ASHOKLEY29MAY25FUT,ASHOKLEY,29MAY2025,-1.0,2500,FUTSTK,NFO,1.0,212,ASHOKLEY-EQ,,-1.0,1,,NSE,1.0
43,57155,AUROPHARMA29MAY25FUT,AUROPHARMA,29MAY2025,-1.0,550,FUTSTK,NFO,5.0,275,AUROPHARMA-EQ,,-1.0,1,,NSE,5.0
44,57162,BALKRISIND29MAY25FUT,BALKRISIND,29MAY2025,-1.0,300,FUTSTK,NFO,5.0,335,BALKRISIND-EQ,,-1.0,1,,NSE,5.0
45,57175,BSOFT29MAY25FUT,BSOFT,29MAY2025,-1.0,1000,FUTSTK,NFO,5.0,6994,BSOFT-EQ,,-1.0,1,,NSE,5.0
46,57176,CAMS29MAY25FUT,CAMS,29MAY2025,-1.0,125,FUTSTK,NFO,5.0,342,CAMS-EQ,,-1.0,1,,NSE,5.0
47,57189,CUMMINSIND29MAY25FUT,CUMMINSIND,29MAY2025,-1.0,150,FUTSTK,NFO,5.0,1901,CUMMINSIND-EQ,,-1.0,1,,NSE,5.0
48,57191,DABUR29MAY25FUT,DABUR,29MAY2025,-1.0,1250,FUTSTK,NFO,5.0,772,DABUR-EQ,,-1.0,1,,NSE,5.0
49,57195,DIVISLAB29MAY25FUT,DIVISLAB,29MAY2025,-1.0,100,FUTSTK,NFO,5.0,10940,DIVISLAB-EQ,,-1.0,1,,NSE,5.0
50,57197,DLF29MAY25FUT,DLF,29MAY2025,-1.0,825,FUTSTK,NFO,5.0,14732,DLF-EQ,,-1.0,1,,NSE,5.0
51,57198,DMART29MAY25FUT,DMART,29MAY2025,-1.0,150,FUTSTK,NFO,5.0,19913,DMART-EQ,,-1.0,1,,NSE,5.0
52,57204,EXIDEIND29MAY25FUT,EXIDEIND,29MAY2025,-1.0,1800,FUTSTK,NFO,5.0,676,EXIDEIND-EQ,,-1.0,1,,NSE,5.0
53,57211,GODREJCP29MAY25FUT,GODREJCP,29MAY2025,-1.0,500,FUTSTK,NFO,5.0,10099,GODREJCP-EQ,,-1.0,1,,NSE,5.0
54,57214,GODREJPROP29MAY25FUT,GODREJPROP,29MAY2025,-1.0,225,FUTSTK,NFO,5.0,17875,GODREJPROP-EQ,,-1.0,1,,NSE,5.0
55,57215,GRANULES29MAY25FUT,GRANULES,29MAY2025,-1.0,1000,FUTSTK,NFO,5.0,11872,GRANULES-EQ,,-1.0,1,,NSE,5.0
56,57237,HUDCO29MAY25FUT,HUDCO,29MAY2025,-1.0,2425,FUTSTK,NFO,1.0,20825,HUDCO-EQ,,-1.0,1,,NSE,1.0
57,57241,ICICIGI29MAY25FUT,ICICIGI,29MAY2025,-1.0,250,FUTSTK,NFO,5.0,21770,ICICIGI-EQ,,-1.0,1,,NSE,5.0
58,57280,INDUSINDBK29MAY25FUT,INDUSINDBK,29MAY2025,-1.0,500,FUTSTK,NFO,5.0,5258,INDUSINDBK-EQ,,-1.0,1,,NSE,5.0
59,57359,JSWENERGY29MAY25FUT,JSWENERGY,29MAY2025,-1.0,750,FUTSTK,NFO,5.0,17869,JSWENERGY-EQ,,-1.0,1,,NSE,5.0
60,57364,JSWSTEEL29MAY25FUT,JSWSTEEL,29MAY2025,-1.0,675,FUTSTK,NFO,5.0,11723,JSWSTEEL-EQ,,-1.0,1,,NSE,5.0
61,57376,KOTAKBANK29MAY25FUT,KOTAKBANK,29MAY2025,-1.0,400,FUTSTK,NFO,5.0,1922,KOTAKBANK-EQ,,-1.0,1,,NSE,5.0
62,57392,LICI29MAY25FUT,LICI,29MAY2025,-1.0,575,FUTSTK,NFO,5.0,9480,LICI-EQ,,-1.0,1,,NSE,5.0
63,57440,MANAPPURAM29MAY25FUT,MANAPPURAM,29MAY2025,-1.0,3000,FUTSTK,NFO,1.0,19061,MANAPPURAM-EQ,,-1.0,1,,NSE,1.0
64,57472,NHPC29MAY25FUT,NHPC,29MAY2025,-1.0,6400,FUTSTK,NFO,1.0,17400,NHPC-EQ,,-1.0,1,,NSE,1.0
65,57488,PERSISTENT29MAY25FUT,PERSISTENT,29MAY2025,-1.0,100,FUTSTK,NFO,5.0,18365,PERSISTENT-EQ,,-1.0,1,,NSE,5.0
66,57492,PFC29MAY25FUT,PFC,29MAY2025,-1.0,1300,FUTSTK,NFO,5.0,14299,PFC-EQ,,-1.0,1,,NSE,5.0
67,57498,POLYCAB29MAY25FUT,POLYCAB,29MAY2025,-1.0,125,FUTSTK,NFO,5.0,9590,POLYCAB-EQ,,-1.0,1,,NSE,5.0
68,57502,POWERGRID29MAY25FUT,POWERGRID,29MAY2025,-1.0,1800,FUTSTK,NFO,5.0,14977,POWERGRID-EQ,,-1.0,1,,NSE,5.0
69,57503,PRESTIGE29MAY25FUT,PRESTIGE,29MAY2025,-1.0,325,FUTSTK,NFO,5.0,20302,PRESTIGE-EQ,,-1.0,1,,NSE,5.0
70,57517,SHRIRAMFIN29MAY25FUT,SHRIRAMFIN,29MAY2025,-1.0,750,FUTSTK,NFO,5.0,4306,SHRIRAMFIN-EQ,,-1.0,1,,NSE,5.0
71,57520,SOLARINDS29MAY25FUT,SOLARINDS,29MAY2025,-1.0,75,FUTSTK,NFO,5.0,13332,SOLARINDS-EQ,,-1.0,1,,NSE,5.0
72,57526,TATACHEM29MAY25FUT,TATACHEM,29MAY2025,-1.0,550,FUTSTK,NFO,5.0,3405,TATACHEM-EQ,,-1.0,1,,NSE,5.0
73,57532,TATAMOTORS29MAY25FUT,TATAMOTORS,29MAY2025,-1.0,550,FUTSTK,NFO,5.0,3456,TATAMOTORS-EQ,,-1.0,1,,NSE,5.0
74,57537,TATATECH29MAY25FUT,TATATECH,29MAY2025,-1.0,700,FUTSTK,NFO,5.0,20293,TATATECH-EQ,,-1.0,1,,NSE,5.0
75,57547,TORNTPHARM29MAY25FUT,TORNTPHARM,29MAY2025,-1.0,250,FUTSTK,NFO,5.0,3518,TORNTPHARM-EQ,,-1.0,1,,NSE,5.0
